"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/shakir/development/13floor/App/src/components/simple/ProcessBar/ProcessBar.css", "CSS", 0, 41, 0, 0, 8, 49
"/Users/shakir/development/13floor/App/src/components/simple/ProcessBar/ProcessBar.jsx", "JavaScript JSX", 29, 0, 0, 0, 5, 34
"/Users/shakir/development/13floor/App/src/components/simple/ProgressBar/ProgressBar.css", "CSS", 0, 41, 0, 0, 5, 46
"/Users/shakir/development/13floor/App/src/components/simple/ProgressBar/ProgressBar.jsx", "JavaScript JSX", 31, 0, 0, 0, 3, 34
"/Users/shakir/development/13floor/App/src/components/simple/SubTitle/SubTitle.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"/Users/shakir/development/13floor/App/src/components/simple/Title/Title.css", "CSS", 0, 9, 0, 0, 0, 9
"/Users/shakir/development/13floor/App/src/components/simple/Title/Title.jsx", "JavaScript JSX", 6, 0, 0, 0, 2, 8
"/Users/shakir/development/13floor/App/src/hooks/useTelegram.js", "JavaScript", 0, 0, 7, 0, 3, 10
"/Users/shakir/development/13floor/App/src/index.css", "CSS", 0, 49, 0, 0, 7, 56
"/Users/shakir/development/13floor/App/src/main.jsx", "JavaScript JSX", 9, 0, 0, 0, 2, 11
"/Users/shakir/development/13floor/App/src/screens/Home/Home.css", "CSS", 0, 36, 0, 0, 4, 40
"/Users/shakir/development/13floor/App/src/screens/Home/Home.jsx", "JavaScript JSX", 70, 0, 0, 15, 3, 88
"/Users/shakir/development/13floor/App/src/screens/StartCustomize/StartCustomize.css", "CSS", 0, 38, 0, 0, 7, 45
"/Users/shakir/development/13floor/App/src/screens/StartCustomize/StartCustomize.jsx", "JavaScript JSX", 111, 0, 0, 0, 6, 117
"Total", "-", 2174, 1246, 7, 49, 282, 3758
